,,,,,X,absX,xdiff,Y,absY,ydiff,Z,absZ,zdiff,adiff,,,
10-14-38 686,0,0,0,0,0.792969,0.792969,0,-0.658951,0.658951,0,-1.023804,1.023804,0,0,-2.422331,-0.653786,2.190906
10-14-38 712,0.2,0,0,0.04,0.280167,0.280167,0.512802,-0.143448,0.143448,0.515503,-0.608353,0.608353,0.415451,0.8374418,-2.422331,-0.653786,2.190906
10-14-38 755,0,0,0,0,0.280167,0.280167,0,-0.143448,0.143448,0,-0.608353,0.608353,0,0,0.224403,-0.654975,-0.748911
10-14-38 804,0,0,0,0,0.280167,0.280167,0,-0.143448,0.143448,0,-0.608353,0.608353,0,0,0.224403,-0.654975,-0.748911
10-14-40 224,0,0,0,0.04,0.447525,0.447525,0.167358,-0.405563,0.405563,0.262115,-1.002777,1.002777,0.394424,0.502278076,2.415572,0.713377,1.308931
10-14-40 228,0,0,0,0,0.447525,0.447525,0,-0.405563,0.405563,0,-1.002777,1.002777,0,0,2.415572,0.713377,1.308931
10-14-40 231,0,0,0,0.04,0.447525,0.447525,0,-0.405563,0.405563,0,-1.002777,1.002777,0,0,2.415572,0.713377,1.308931
10-14-40 234,0,0,0,0.04,0.447525,0.447525,0,-0.405563,0.405563,0,-1.002777,1.002777,0,0,2.415572,0.713377,1.308931
10-14-40 318,0,0,0,0.04,0.447525,0.447525,0,-0.405563,0.405563,0,-1.002777,1.002777,0,0,-1.46638,-0.144428,-0.875333
10-14-40 326,0,0,0,0.04,0.447525,0.447525,0,-0.405563,0.405563,0,-1.002777,1.002777,0,0,-1.46638,-0.144428,-0.875333
10-14-40 330,0,0,0,0.04,0.447525,0.447525,0,-0.405563,0.405563,0,-1.002777,1.002777,0,0,-1.46638,-0.144428,-0.875333
10-14-40 333,0,0,0,0.12,0.447525,0.447525,0,-0.405563,0.405563,0,-1.002777,1.002777,0,0,-1.46638,-0.144428,-0.875333
10-14-40 336,0,0,0,0.08,0.447525,0.447525,0,-0.405563,0.405563,0,-1.002777,1.002777,0,0,-1.46638,-0.144428,-0.875333
10-14-40 339,0,0,0,0.12,0.447525,0.447525,0,-0.405563,0.405563,0,-1.002777,1.002777,0,0,-1.46638,-0.144428,-0.875333
10-14-40 343,0,0,0,0.16,0.447525,0.447525,0,-0.405563,0.405563,0,-1.002777,1.002777,0,0,-1.46638,-0.144428,-0.875333
