,,,,,x,xdiff,y,ydiff,z,zdiff,adiff,asqur,,,
02-20-09 635,0,0,0,0,-0.398422,0,1.162384,0,0.044235,0,0,1.229566342,1.289257,0.291061,0.437384
02-20-09 681,0,0,0,0,-0.398422,0,1.162384,0,0.044235,0,0,1.229566342,1.289257,0.291061,0.437384
02-20-09 733,0,0,0,0,-0.082901,0.315521,0.866562,0.295822,-0.330383,0.374618,0.572191229,0.931104292,1.289257,0.291061,0.437384
02-20-09 779,0,0,0,0,-0.082901,0,0.866562,0,-0.330383,0,0,0.931104292,1.240066,0.82651,-0.085763
02-20-09 838,0,0,0,0,-0.082901,0,0.866562,0,-0.330383,0,0,0.931104292,1.240066,0.82651,-0.085763
02-20-09 886,0,0,0,0,-0.082901,0,0.866562,0,-0.330383,0,0,0.931104292,1.240066,0.82651,-0.085763
02-20-09 936,0,0,0,0,-0.39386,0.310959,1.098114,0.231552,-0.006531,0.323852,0.505165266,1.16662878,1.240066,0.82651,-0.085763
02-20-09 996,0,0,0,0,-0.39386,0,1.098114,0,-0.006531,0,0,1.16662878,0.091522,0.339472,0.396156
02-20-10 054,0,0,0.12,0.28,-0.39386,0,1.098114,0,-0.006531,0,0,1.16662878,0.091522,0.339472,0.396156
02-20-10 093,0,0,0.12,0.68,-0.39386,0,1.098114,0,-0.006531,0,0,1.16662878,0.091522,0.339472,0.396156
02-20-10 144,0,0,0.08,0.72,0.254517,0.648377,1.371414,0.2733,0.082825,0.089356,0.709274361,1.397288533,-2.186227,0.500133,-0.910158
02-20-10 200,0,0,0,0.36,0.254517,0,1.371414,0,0.082825,0,0,1.397288533,-2.186227,0.500133,-0.910158
02-20-10 248,0,0,0,0.08,0.254517,0,1.371414,0,0.082825,0,0,1.397288533,-2.186227,0.500133,-0.910158
02-20-10 296,0,0,0,0,0.254517,0,1.371414,0,0.082825,0,0,1.397288533,-2.186227,0.500133,-0.910158
